customer_id,full_name,age,gender,country,city,occupation,annual_income,account_age_days,kyc_status,pep_flag,sanctions_flag,onboarding_date,risk_category,email,phone_number,customer_age_group,kyc_risk_flag
CUST395442,Regina Buck,44,Other,GB,North Dakotachester,Tourist information centre manager,15046.0,2816,Verified,0,0,2018-09-01,Low,holmesrichard@example.org,763.306.9279x525,26-45,0
CUST-908577,Stephen Peters,34,Other,CH,East Matthewmouth,Cabin crew,23804.0,662,Pending,0,0,2024-07-25,Medium,cbradley@example.net,(787)281-3239x23736,26-45,1
CUST-137778,David Cox,65,Other,DE,South Davidshire,Contracting civil engineer,9840.0,1761,Verified,0,0,2021-07-22,Low,danielsjeffrey@example.net,796.420.6149x3397,46-65,0
CUST-918011,Trevor Blake,70,Other,JP,Jenniferton,Biomedical engineer,28652.0,970,Expired,1,0,2023-09-21,High,dsanchez@example.com,456-408-5917x4322,65+,0
CUST-941204,Elizabeth Harris,49,Female,SA,East Richard,Industrial/product designer,14465.0,2873,Verified,0,0,2018-07-06,Medium,kevin13@example.org,+1-819-997-0785x20249,46-65,0
CUST-338651,Rebecca Espinoza,46,Male,FR,East Samuelburgh,Personnel officer,17958.0,1633,Verified,0,0,2021-11-27,Low,preese@example.org,689-623-7221,46-65,0
CUST-447235,Sierra Santana,21,Male,NL,Debratown,Industrial buyer,14455.0,1070,Verified,0,0,2023-06-13,Low,edwardnguyen@example.com,337.979.3257x982,18-25,0
CUST-636265,Thomas Chan,32,Female,NL,Lake Michael,Publishing copy,80546.0,779,Verified,0,0,2024-03-30,Medium,jean12@example.org,953.867.6295,26-45,0
CUST-552248,Veronica Miller,26,Other,CH,South Jessica,Electrical engineer,21819.0,2553,Verified,0,0,2019-05-22,Low,brandon36@example.com,788-567-8092x4395,26-45,0
CUST-681343,Lori Graves,34,Male,CA,West Lindaton,"Engineer, civil (consulting)",10504.0,1553,Verified,0,0,2022-02-15,Low,leslie20@example.com,(460)416-3082,26-45,0
CUST-923927,Elizabeth Fritz,59,Female,AU,North Christina,"Lighting technician, broadcasting/film/video",39174.0,2768,Verified,0,0,2018-10-19,Low,heathersimpson@example.net,538.798.4159,46-65,0
CUST-197923,Robert Jones,48,Other,GB,Juarezfurt,Clinical psychologist,9371.0,3304,Verified,0,0,2017-05-01,Low,kristinelopez@example.com,954-768-7714x48219,46-65,0
CUST-703634,Daniel Summers,42,Other,JP,Lake James,Soil scientist,25494.0,2025,Verified,0,0,2020-10-31,Low,xreyes@example.org,734.670.9832x90209,26-45,0
CUST-587115,Christina Matthews,24,Other,US,Port Matthewborough,Commercial/residential surveyor,5587.0,3475,Verified,0,0,2016-11-11,Medium,vmanning@example.org,001-765-619-3685x392,18-25,0
CUST-742412,Jay Carrillo,82,Female,SG,Lake Pamelamouth,Administrator,8692.0,2245,Verified,0,0,2020-03-25,Low,nixonamber@example.com,001-850-230-2175x27602,65+,0
CUST-646622,Jay Best,80,Other,US,Lake Andrewhaven,Museum education officer,25280.0,1802,Verified,0,0,2021-06-11,Low,egreen@example.org,+1-496-384-8674x114,65+,0
CUST-260227,William Hoover,45,Male,CA,Lake Melissatown,Operations geologist,36935.0,1356,Verified,0,0,2022-08-31,Low,gregorycarlos@example.org,001-431-217-5405,26-45,0
CUST-902784,Brian Cannon,66,Female,IR,Danieltown,Market researcher,24833.0,1441,Verified,0,0,2022-06-07,Medium,jaimeknight@example.com,8838701624,65+,0
CUST-611945,Rhonda Dominguez,46,Female,CA,Ramirezmouth,Retail manager,20313.0,119,Verified,0,0,2026-01-19,Low,klucas@example.net,857.241.8647,46-65,0
CUST-513160,Rachel Lewis,21,Male,FR,Port Stephenhaven,Orthoptist,17840.0,556,Expired,0,0,2024-11-08,Low,pgonzalez@example.com,247-944-9989x59828,18-25,0
CUST-888539,Paul Ramirez,71,Female,SG,Michaelton,Museum/gallery exhibitions officer,7824.0,1927,Verified,0,1,2021-02-06,High,alisonowens@example.net,563.283.1033x8130,65+,0
CUST-890870,Morgan Hernandez,21,Male,UA,Wallacehaven,Special effects artist,13307.0,84,Verified,0,0,2026-02-23,Low,hkent@example.com,+1-351-997-9466,18-25,0
CUST-275939,Nicole White,32,Male,CH,Donnaburgh,Toxicologist,15955.0,443,Verified,0,0,2025-03-01,Low,jason78@example.com,8714498296,26-45,0
CUST-757711,Jessica Rose,49,Male,JP,Lake Garyhaven,"Surveyor, planning and development",46165.0,1236,Expired,0,0,2022-12-29,Medium,keithyoung@example.com,001-499-704-0750x455,46-65,0
CUST-630538,Pamela Curry,61,Male,NL,New Brandon,"Editor, magazine features",28016.0,3369,Verified,0,0,2017-02-25,Low,jarmstrong@example.com,822.855.7896x76861,46-65,0
CUST-383201,Aaron Duarte,79,Female,CA,East Patricia,Gaffer,6411.0,2995,Verified,0,0,2018-03-06,Low,charleslee@example.org,302-230-9942x2170,65+,0
CUST-800646,Brandi Buchanan,66,Female,VE,North Daniel,Financial manager,27635.0,3486,Verified,0,0,2016-10-31,Medium,danielle49@example.org,(640)266-6608,65+,0
CUST-110644,Jacqueline Leonard,84,Male,AF,Rodriguezchester,Naval architect,16821.0,2950,Verified,0,0,2018-04-20,Medium,henry08@example.org,660.384.3480x494,65+,0
CUST-332360,Eric Mckee,69,Other,US,Campbellland,Financial controller,13713.0,2720,Verified,0,0,2018-12-06,Low,jorgegrant@example.net,(630)621-1219x2486,65+,0
CUST-421517,Robert Goodwin,50,Male,JO,Stephaniemouth,Advice worker,33798.0,789,Verified,0,0,2024-03-20,Medium,dawnmatthews@example.net,001-443-467-8383x598,46-65,0
CUST-897135,Brian Peterson,85,Other,GB,Port Veronica,TEFL teacher,45328.0,412,Pending,0,0,2025-04-01,High,,001-614-503-6211x492,65+,1
CUST-680238,Rebecca Ortega,55,Other,CH,Port Meredith,Chief Operating Officer,42272.0,2613,Expired,0,0,2019-03-23,Medium,randy40@example.com,+1-217-385-0032,46-65,0
CUST-364742,Virginia Johnson,79,Male,SG,Port Annfort,"Teacher, English as a foreign language",12241.0,1642,Verified,0,0,2021-11-18,Low,cshannon@example.net,2118274496,65+,0
CUST-224205,Joshua Ortiz,71,Other,DE,Port Mark,Health and safety inspector,17739.0,2534,Verified,0,0,2019-06-10,Low,smithjessica@example.org,867.302.7258x314,65+,0
CUST-163156,Mark Cuevas,30,Male,FR,Fernandezton,"Journalist, newspaper",27774.0,1084,Verified,0,0,2023-05-30,Low,kathy28@example.com,001-278-297-4666x8781,26-45,0
CUST-134225,Justin Rivers,47,Female,JP,Port Bryanchester,Agricultural engineer,43603.0,2880,Expired,0,0,2018-06-29,Low,kentheather@example.net,281.908.3616x15114,46-65,0
CUST-545790,Sonya Fields,32,Other,US,South Sheilahaven,Camera operator,15749.0,611,Expired,0,0,2024-09-14,Low,ahicks@example.net,001-245-419-1748x2207,26-45,0
CUST-560485,Rachael Woods,33,Female,JP,South Leslie,Information officer,19342.0,2867,Verified,0,0,2018-07-12,Low,idavenport@example.com,(200)791-0959x4690,26-45,0
CUST-362529,Jonathan Wagner,21,Male,US,Garciachester,Commercial/residential surveyor,10153.0,2762,Pending,0,0,2018-10-25,High,thomas97@example.com,(754)619-7326x8702,18-25,1
CUST-563711,Erika Hoffman,53,Male,CH,Lake Annside,Civil Service fast streamer,9534.0,1786,Verified,0,0,2021-06-27,Low,stanley70@example.net,+1-734-939-8471,46-65,0
CUST-531641,Juan Mills,81,Female,FR,New Teresa,"Programmer, applications",38900.0,1641,Pending,0,0,2021-11-19,High,sandovalkathryn@example.com,624.697.1709x74877,65+,1
CUST-964998,Zachary Vasquez,18,Other,NL,Sweeneyville,"Scientist, research (medical)",56918.0,1893,Verified,0,0,2021-03-12,Low,hmorrison@example.net,8836751682,18-25,0
CUST-402020,Nancy Chen,74,Other,AU,Smithmouth,Customer service manager,20943.0,119,Rejected,0,0,2026-01-19,Low,louis81@example.net,nan,65+,1
CUST-982277,Laura Cantu,32,Female,CH,Arnoldchester,"Therapist, art",44465.0,2654,Pending,0,0,2019-02-10,High,xwatson@example.net,730-549-7524,26-45,1
CUST251668,Robert Ward,67,Male,CH,Richardsonchester,"Restaurant manager, fast food",28371.0,2082,Pending,0,0,2020-09-04,High,reneeanderson@example.com,7116059426,65+,1
CUST-861319,Aaron Gordon PhD,56,Other,DE,Port Dylanberg,Paramedic,14022.0,2704,Verified,0,0,2018-12-22,Low,michaellove@example.com,(809)226-1322x2783,46-65,0
CUST-297816,Lauren Boyer,48,Other,CA,Jamesburgh,Communications engineer,28366.0,3507,Pending,0,0,2016-10-10,High,stephen10@example.org,745-690-4018,46-65,1
CUST-619389,Christina Wells,22,Male,AU,Port Mary,Furniture conservator/restorer,64642.0,2418,Verified,0,0,2019-10-04,Low,ugillespie@example.com,5139110638,18-25,0
CUST-786587,Amber Moore,37,Male,AU,East Destinyburgh,"Buyer, retail",21480.0,1086,Verified,0,0,2023-05-28,Low,mchurch@example.org,001-365-354-9422x7453,26-45,0
CUST-853629,Matthew Brown,80,Other,ZW,South Joshua,"Civil engineer, consulting",65857.0,281,Verified,0,0,2025-08-10,Medium,wprice@example.com,8566780076,65+,0
CUST-205389,Jose Jones,74,Male,JP,Mirandaside,"Therapist, music",3519.0,119,Verified,0,0,2026-01-19,Low,thomasjulie@example.net,657-855-6202x47752,65+,0
CUST-288803,Patricia Merritt,39,Male,AF,Lake Mike,Health visitor,39156.0,3567,Verified,0,0,2016-08-11,Medium,timothy60@example.org,277.911.5106x42510,26-45,0
CUST-943718,Shawn Jones,77,Female,FR,Georgeland,"Engineer, control and instrumentation",,648,Verified,0,0,2024-08-08,Low,,nan,65+,0
CUST-308894,Theresa Miller,67,Female,JO,Jonathanhaven,Advice worker,17866.0,1563,Verified,0,0,2022-02-05,Medium,ischmidt@example.com,617-461-7021x0534,65+,0
CUST-819112,Benjamin Madden,24,Other,JP,Christianville,"Scientist, clinical (histocompatibility and immunogenetics)",23487.0,3412,Expired,0,0,2017-01-13,Medium,cassidy18@example.net,001-310-936-9306x396,18-25,0
CUST-892280,Lucas Sanford,35,Other,IQ,Judithbury,Multimedia specialist,5479.0,2571,Verified,0,0,2019-05-04,Medium,ramoscheryl@example.org,539-656-0729x382,26-45,0
CUST-284171,Thomas Savage,43,Male,SG,Lake Jasmine,Learning mentor,18887.0,3590,Rejected,0,0,2016-07-19,Low,erica85@example.net,398.364.5214x23587,26-45,1
CUST-882824,Lisa Solomon,61,Male,AU,Gordonburgh,Cabin crew,28281.0,309,Verified,0,0,2025-07-13,Low,aclark@example.com,571-509-8676x95769,46-65,0
CUST-114594,Cory Lee,51,Other,LB,Barreratown,Community arts worker,61977.0,1510,Verified,0,0,2022-03-30,Medium,harrisedgar@example.org,8142265440,46-65,0
CUST-688678,Regina Harris,59,Other,US,Port Matthew,Chartered certified accountant,15324.0,259,Verified,0,0,2025-09-01,Low,danacaldwell@example.org,341.455.4610x55107,46-65,0
CUST-221761,Katherine Walker,30,Male,NL,West Barbara,Corporate treasurer,12507.0,556,Verified,0,0,2024-11-08,Medium,pjackson@example.com,810-860-3175x171,26-45,0
CUST-203831,Jessica Chambers,80,Other,CA,New Tylerview,"Psychologist, occupational",15502.0,1146,Verified,0,0,2023-03-29,Low,simmonsangela@example.org,+1-881-854-0257x92550,65+,0
CUST-776149,Jason Williams,63,Male,CA,Lake Samuel,Estate agent,41805.0,778,Rejected,0,0,2024-03-31,Low,jeremyobrien@example.net,+1-666-753-0386x419,46-65,1
CUST-925013,Miranda Ferguson,60,Male,CH,Port Olivia,Sports administrator,27725.0,3224,Verified,0,0,2017-07-20,Low,angela21@example.com,867-210-9478x481,46-65,0
CUST-926952,Peter Colon,18,Female,NL,Michellefort,Financial trader,15201.0,593,Rejected,0,0,2024-10-02,Low,frank60@example.com,nan,18-25,1
CUST-349489,Cynthia White,59,Male,EG,West Joshua,Product/process development scientist,31548.0,215,Verified,0,0,2025-10-15,Low,elizabethlopez@example.com,923.432.1014,46-65,0
CUST-628313,Jennifer Padilla,46,Other,NG,South Carlport,Logistics and distribution manager,23575.0,3209,Expired,0,0,2017-08-04,Low,floydlaura@example.com,+1-955-812-5912x34435,46-65,0
CUST-614084,Brooke Boyd,74,Male,NL,West Tanyamouth,Chartered accountant,43392.0,1320,Verified,0,0,2022-10-06,Medium,greenmax@example.org,396-238-4309,65+,0
CUST-575755,Richard Gonzalez,82,Other,CA,Lake Rachel,Gaffer,13474.0,3249,Pending,0,0,2017-06-25,Medium,meghanturner@example.com,(305)406-6265x06110,65+,1
CUST-518098,Nicole Stevens,71,Other,IQ,New Peter,"Editor, film/video",17511.0,1749,Verified,0,0,2021-08-03,Medium,freyanthony@example.net,001-841-911-8930x31846,65+,0
CUST-874683,April Bridges,65,Male,DE,Porterbury,Risk manager,16739.0,2403,Rejected,0,0,2019-10-19,Low,xcampbell@example.com,2667424577,46-65,1
CUST-856086,Stephanie Taylor,24,Female,DE,South Tanner,"Designer, multimedia",7907.0,1441,Verified,0,0,2022-06-07,Low,yroberts@example.net,387.272.4943x538,18-25,0
CUST-899649,Gregory Larson,53,Other,US,Port Saraborough,Podiatrist,27099.0,1758,Pending,1,0,2021-07-25,Medium,iholden@example.org,204-458-9897x35415,46-65,1
CUST-386544,Shawn Gomez,57,Female,GB,East Anthony,Health physicist,26442.0,744,Expired,0,0,2024-05-04,Low,cynthia80@example.com,+1-644-657-8078x5169,46-65,0
CUST-494468,Tina Moran,71,Female,GB,North Jamesmouth,"Horticulturist, commercial",22105.0,1516,Verified,0,0,2022-03-24,Medium,justinjames@example.net,290-959-7186,65+,0
CUST-806707,Sandra Carroll,28,Female,AU,Hawkinschester,Information systems manager,18690.0,1737,Verified,0,0,2021-08-15,Medium,ambergomez@example.net,978.870.7994x912,26-45,0
CUST-610271,Brandy Barton,85,Other,GB,Port Tinashire,Clinical biochemist,8178.0,904,Verified,0,0,2023-11-26,Low,uduncan@example.com,(367)332-2723x883,65+,0
CUST-225812,Keith White,18,Female,JP,East Hayley,Clinical embryologist,16408.0,720,Verified,0,0,2024-05-28,Medium,michael43@example.org,407.912.5619x185,18-25,0
CUST-144357,Christopher Carter,73,Male,AU,South Hannah,Financial planner,17328.0,319,Expired,0,0,2025-07-03,Low,wwerner@example.net,799.370.5551x6430,65+,0
CUST-748151,Jennifer Holland MD,76,Other,NL,East Mark,Estate agent,12561.0,361,Verified,0,0,2025-05-22,Low,brownlori@example.com,446-597-0497,65+,0
CUST-449247,James Bennett,39,Male,AU,Danielland,Cytogeneticist,19674.0,468,Verified,0,0,2025-02-04,Low,thammond@example.net,(732)476-0584x093,26-45,0
CUST-253557,Richard Beck,50,Male,EG,Alyssafurt,Biomedical scientist,29226.0,627,Pending,0,0,2024-08-29,High,william59@example.org,9199555691,46-65,1
CUST-691912,Suzanne Flowers,59,Other,GB,North Leslie,Dancer,82481.0,1802,Verified,0,0,2021-06-11,Low,idillon@example.org,242-348-0779x20052,46-65,0
CUST-139434,Joseph Sanchez,25,Female,SG,Ashleybury,Hydrogeologist,24889.0,315,Verified,1,0,2025-07-07,High,clarkashley@example.net,927.838.2649,18-25,0
CUST-571579,Deborah Cook,42,Female,FR,Toddton,Logistics and distribution manager,26377.0,2054,Verified,0,0,2020-10-02,Low,callahananthony@example.org,686.862.1982,26-45,0
CUST-841995,Justin Garcia,74,Female,DE,Bryceburgh,Graphic designer,20908.0,2498,Verified,0,0,2019-07-16,Low,diazalan@example.com,(764)771-8455x855,65+,0
CUST-450905,Pamela Blevins,26,Female,IQ,Ramseymouth,Plant breeder/geneticist,5749.0,2779,Verified,0,0,2018-10-08,Medium,williamsonkristopher@example.com,+1-372-918-1490,26-45,0
CUST-787923,Sean Sherman,68,Male,DE,Marychester,"Surveyor, rural practice",21621.0,348,Verified,0,0,2025-06-04,Low,riverabarbara@example.org,466-527-6582,65+,0
CUST-651963,Kevin Snyder,29,Other,FR,Fullerton,Product manager,22974.0,2083,Verified,0,0,2020-09-03,Low,johncole@example.net,294.306.7603x3528,26-45,0
CUST-262471,Mr. Ethan Walters DVM,27,Female,NL,Courtneymouth,Curator,123533.0,415,Verified,0,0,2025-03-29,Medium,joshua90@example.com,+1-766-679-8535x2810,26-45,0
CUST-495019,Maria Hughes,37,Male,EG,Port Meganton,Proofreader,19251.0,2838,Pending,0,0,2018-08-10,High,tamara69@example.org,588-264-9306,26-45,1
CUST-740255,Christina Lee,54,Other,SG,Lake Justin,Meteorologist,27203.0,959,Verified,0,0,2023-10-02,Low,wdodson@example.com,001-912-435-6494x5119,46-65,0
CUST-561999,Colleen Cross,77,Female,SG,West Sethmouth,Chartered accountant,21497.0,2060,Verified,0,0,2020-09-26,Medium,michaelwilliams@example.net,479-438-5690,65+,0
CUST-681478,Erin Holland,31,Other,NL,East Tammy,Multimedia programmer,9719.0,3487,Verified,0,0,2016-10-30,Low,jboyd@example.com,+1-235-280-7630x83408,26-45,0
CUST-332823,Ellen Garrett DDS,75,Female,CH,North Sean,Chief of Staff,49019.0,1700,Verified,0,0,2021-09-21,Low,qlong@example.net,nan,65+,0
CUST-781533,Barry Robertson,60,Male,LB,Emilyshire,Chartered legal executive (England and Wales),37285.0,1176,Expired,0,0,2023-02-27,Medium,natasha98@example.com,nan,46-65,0
CUST-975522,Bradley Brown,37,Other,CH,North Joseph,"Engineer, technical sales",38319.0,2494,Verified,0,0,2019-07-20,Low,jennifer05@example.com,766.972.7692,26-45,0
CUST-165858,Alex Hernandez MD,32,Female,DE,Anthonytown,"Librarian, academic",11654.0,68,Verified,0,0,2026-03-11,Low,jennifermartinez@example.net,(375)792-2751,26-45,0
CUST-796643,Cynthia Gilbert MD,28,Other,CH,Reneeville,Soil scientist,58803.0,278,Rejected,0,0,2025-08-13,Medium,lauriemoran@example.com,(870)530-5364,26-45,1
CUST-491435,Donna Jacobs,50,Other,SD,Christianville,"Therapist, drama",8256.0,3230,Verified,0,0,2017-07-14,Medium,travis92@example.com,350.835.6949,46-65,0
CUST-672536,Tyler Pearson,61,Other,EG,Greerville,"Programmer, systems",33216.0,3192,Verified,1,0,2017-08-21,High,miranda22@example.com,+1-667-825-7410,46-65,0
CUST-407696,James Pineda,43,Male,SG,North Kylebury,Building control surveyor,102060.0,3629,Verified,0,0,2016-06-10,Medium,alexisallen@example.net,545-729-6295x062,26-45,0
CUST-918771,Samuel Jordan,24,Other,GB,Bryantchester,"Production assistant, television",11010.0,510,Pending,0,0,2024-12-24,High,alison52@example.org,001-641-503-0571,18-25,1
CUST-621691,Jessica Green,65,Other,US,Adamsville,Oncologist,14817.0,339,Pending,0,0,2025-06-13,Medium,bwilson@example.org,+1-485-254-8448,46-65,1
CUST-421384,Diane Flores,75,Other,JP,Boltonborough,Leisure centre manager,23617.0,683,Verified,0,0,2024-07-04,Low,ljames@example.com,475.954.4670x875,65+,0
CUST-160144,Eugene Diaz,27,Other,FR,West Bryanchester,"Education officer, museum",15484.0,1489,Verified,0,0,2022-04-20,Low,lesliedunn@example.com,(961)431-3185,26-45,0
CUST-170499,Ronald Hanna,48,Other,CA,Vickieshire,Associate Professor,7439.0,1569,Expired,0,0,2022-01-30,Low,rodriguezjessica@example.com,001-414-748-3813x2987,46-65,0
CUST-655178,April Ross,64,Female,GB,Johnberg,Soil scientist,23109.0,1142,Verified,0,0,2023-04-02,Low,diana67@example.net,(311)270-4996,46-65,0
CUST-838237,David Thomas,75,Male,CH,Jamesmouth,"Radiographer, diagnostic",10471.0,1170,Verified,1,0,2023-03-05,High,bradramirez@example.net,001-890-915-8220x0790,65+,0
CUST-192055,Tyrone Stone,58,Other,GB,Port Julie,"Civil engineer, consulting",30684.0,266,Verified,0,0,2025-08-25,Low,cevans@example.org,(698)534-2244x09321,46-65,0
CUST-633469,John Nolan,46,Male,CH,Brettport,Child psychotherapist,11572.0,3245,Verified,0,0,2017-06-29,Medium,hayesmichael@example.net,001-472-294-6890x1060,46-65,0
CUST-190403,Courtney Randolph,26,Female,CA,Burnettfort,"Conservation officer, nature",65183.0,2937,Pending,0,0,2018-05-03,Medium,timothy45@example.org,681-872-6334x19349,26-45,1
CUST-642491,Stephen Brown,62,Male,NL,West Cindy,"Engineer, mining",,3196,Verified,0,0,2017-08-17,Low,,nan,46-65,0
CUST-260448,Chad Hayes,56,Male,SA,Riosmouth,Museum/gallery conservator,17580.0,2906,Verified,0,0,2018-06-03,Medium,calvin58@example.net,+1-277-374-6502,46-65,0
CUST-231250,Martin Smith,56,Other,DE,East Steven,Retail banker,38927.0,2059,Verified,0,0,2020-09-27,Low,kirkjoshua@example.org,6493014307,46-65,0
CUST-690996,Nicole Chen,23,Male,AF,Youngmouth,Immunologist,9305.0,2628,Pending,0,0,2019-03-08,High,ymiller@example.net,2953337150,18-25,1
CUST-773088,Rachel Contreras,56,Female,US,Andersonton,"Psychologist, clinical",25828.0,3307,Verified,0,0,2017-04-28,Low,breanna09@example.org,+1-322-989-8814x75336,46-65,0
CUST-250647,Janet Stephenson,58,Other,GB,North Karen,Product manager,54995.0,3526,Verified,0,0,2016-09-21,Medium,sherrymorgan@example.org,+1-813-445-3161x06916,46-65,0
CUST-359961,Shannon Lawrence,36,Male,NG,East Johnport,"Administrator, Civil Service",7149.0,1574,Expired,0,0,2022-01-25,Medium,morrowkyle@example.org,(775)721-9297,26-45,0
CUST-267082,Jacob Sampson,81,Other,AU,Adamborough,Personnel officer,25065.0,3601,Verified,0,0,2016-07-08,Medium,daryl38@example.net,001-864-251-1085x021,65+,0
CUST-395023,Lauren Nelson,81,Other,NL,New Shariton,Chief Technology Officer,26421.0,2680,Verified,0,0,2019-01-15,Low,csanchez@example.org,345.275.6011,65+,0
CUST-483713,Jeremy Williams,23,Female,NG,Reginamouth,Environmental health practitioner,38073.0,2302,Verified,0,0,2020-01-28,Medium,qwilliams@example.net,(552)444-1947,18-25,0
CUST-224582,Sandra Owens,34,Male,CA,Emilybury,"Conservator, furniture",9266.0,3256,Rejected,0,0,2017-06-18,Low,grichardson@example.net,717-374-5584x7947,26-45,1
CUST-243693,Lisa Wallace,60,Female,AU,Timothyview,Publishing rights manager,8740.0,611,Verified,0,0,2024-09-14,Medium,noahevans@example.org,(965)486-3363x3750,46-65,0
CUST-722565,Shane Bright,61,Other,SG,Bradleyberg,Neurosurgeon,31740.0,2181,Verified,0,0,2020-05-28,Low,melissashaffer@example.com,249.583.6926x2626,46-65,0
CUST-935457,Miss Susan Lane,21,Other,AU,Frederickfort,Video editor,27116.0,2686,Pending,0,0,2019-01-09,Medium,radams@example.com,245-469-6429x96235,18-25,1
CUST-982027,Linda Munoz,66,Male,SG,Emilyburgh,Immunologist,26247.0,993,Verified,0,0,2023-08-29,Low,waltersjeremy@example.org,001-985-889-8708x211,65+,0
CUST-626195,Robert Craig,78,Other,JP,West Charlesview,Nutritional therapist,28071.0,2891,Verified,0,0,2018-06-18,Low,wadeandrew@example.net,575.646.5971,65+,0
CUST-458955,Melissa Cowan,63,Other,SG,Obrienfurt,"Civil engineer, contracting",13684.0,2953,Verified,0,0,2018-04-17,Low,lorraine70@example.net,001-819-392-2122x6943,46-65,0
CUST-412071,Dana Juarez,54,Other,US,Jackhaven,Acupuncturist,25915.0,2888,Verified,0,0,2018-06-21,Low,robert38@example.org,(549)266-7782,46-65,0
CUST-513697,Kevin Johnson,62,Male,GB,South Melissa,Magazine journalist,27042.0,1179,Rejected,0,0,2023-02-24,Low,shannonwatkins@example.org,750-381-5819,46-65,1
